table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2022Q1],0.2655435866762962,0.01839699337029509,14.434075249766579,1.0805070147920142e-11,0.22703823702347836,0.304048936329114,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2022Q2],0.12349168633342032,0.006208616238876496,19.89037195762759,3.519349532164944e-14,0.11049690320086178,0.13648646946597887,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2022Q3],-0.006076988139888568,0.025109494263383398,-0.24201953556470077,0.8113580553158312,-0.05863176362717745,0.04647778734740032,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2022Q4],0.029119078906775946,,,,,,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2023Q1],-0.0708550463490439,,,,,,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2023Q2],-0.05435582271501319,0.02374985485221054,-2.2886802068162524,0.03372523930428934,-0.10406484020939574,-0.004646805220630643,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2023Q3],-0.028774069130879123,0.027673228223989207,-1.0397799959578127,0.31149373861757745,-0.08669480146681946,0.02914666320506121,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2023Q4],0.07986704233250973,0.019978675999961323,3.9976143730777927,0.0007703790288648457,0.03805119288936071,0.12168289177565875,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2024Q1],-0.03468866699991217,,,,,,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2024Q2],0.03662288927383795,0.016394162076191245,2.233898207400565,0.03770610507641262,0.002309513696501217,0.07093626485117469,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2024Q3],0.017349720506989845,0.027283713258131958,0.635900265584954,0.5324271036710934,-0.039755747635859234,0.07445518864983892,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2024Q4],0.1665260794872762,0.01916666551003366,8.688317714946326,4.8157069419387384e-08,0.12640978753197768,0.20664237144257475,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2025Q1],0.21556110785153454,,,,,,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2025Q2],-0.23043205079430057,0.03959083766529211,-5.820337845397805,1.317465612086898e-05,-0.31329662636193145,-0.1475674752266697,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2025Q3],0.09981000880653335,,,,,,1002,0.7594840414587388
